Contact ID;Contact Driver Category;Root Cause;Root Cause Category;Date of Contact;Product Category;Business Type;Specialisation
10000;Battery and Charging Issues;Charging Speed Problem;Charging Efficiency;2023-08-22;Electric Vehicles;Automotive and Energy;Electric Mobility and Sustainable Energy
10001;Autopilot and Safety Features;Safety Feature Calibration;Vehicle Safety;2022-04-05;Electric Vehicles;Automotive and Energy;Electric Mobility and Sustainable Energy
10002;Software Updates and Features;Feature Activation Error;Feature Accessibility;2022-08-17;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10003;Service Appointment Scheduling;Appointment Rescheduling;Customer Flexibility;2023-05-08;Electric Vehicles;Automotive and Energy;Electric Mobility and Sustainable Energy
10004;Energy Product Inquiries;Energy Storage Solution;Energy Solution;2023-03-05;Electric Vehicles;Automotive and Energy;Electric Mobility and Sustainable Energy
10005;Order and Delivery Process;Delivery Timeframe Uncertainty;Delivery Planning;2022-03-02;Electric Vehicles;Automotive and Energy;Electric Mobility and Sustainable Energy
10006;Autopilot and Safety Features;Safety Feature Calibration;Vehicle Safety;2022-08-17;Energy Storage;Automotive and Energy;Electric Mobility and Sustainable Energy
10007;Battery and Charging Issues;Battery Performance Decline;Battery Life;2022-02-09;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10008;Software Updates and Features;Update Installation Failure;Software Update;2022-08-23;Energy Storage;Automotive and Energy;Electric Mobility and Sustainable Energy
10009;Battery and Charging Issues;Charging Speed Problem;Charging Efficiency;2022-04-14;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10010;Financial and Leasing Options;Finance Plan Inquiry;Financial Options;2022-07-20;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10011;Software Updates and Features;Feature Activation Error;Feature Accessibility;2022-10-25;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10012;Order and Delivery Process;Order Modification Difficulty;Order Management;2022-03-10;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10013;Battery and Charging Issues;Charging Station Compatibility;Charging Infrastructure;2022-03-26;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10014;Financial and Leasing Options;Lease Agreement Clarification;Leasing Terms;2023-10-30;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10015;Service Appointment Scheduling;Booking System Glitch;Appointment System;2022-11-04;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10016;Energy Product Inquiries;Solar Panel Efficiency Query;Product Performance;2022-12-02;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10017;Order and Delivery Process;Order Modification Difficulty;Order Management;2022-09-14;Electric Vehicles;Automotive and Energy;Electric Mobility and Sustainable Energy
10018;Order and Delivery Process;Delivery Timeframe Uncertainty;Delivery Planning;2023-02-24;Electric Vehicles;Automotive and Energy;Electric Mobility and Sustainable Energy
10019;Warranty and Repair Services;Repair Time Estimation;Service Timeframe;2023-09-14;Energy Storage;Automotive and Energy;Electric Mobility and Sustainable Energy
10020;Order and Delivery Process;Order Modification Difficulty;Order Management;2022-10-03;Electric Vehicles;Automotive and Energy;Electric Mobility and Sustainable Energy
10021;Order and Delivery Process;Delivery Timeframe Uncertainty;Delivery Planning;2023-12-07;Energy Storage;Automotive and Energy;Electric Mobility and Sustainable Energy
10022;Battery and Charging Issues;Battery Performance Decline;Battery Life;2023-09-14;Energy Storage;Automotive and Energy;Electric Mobility and Sustainable Energy
10023;Autopilot and Safety Features;Safety Feature Calibration;Vehicle Safety;2023-09-25;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10024;Service Appointment Scheduling;Appointment Rescheduling;Customer Flexibility;2023-02-11;Energy Storage;Automotive and Energy;Electric Mobility and Sustainable Energy
10025;Warranty and Repair Services;Warranty Coverage Question;Warranty Policy;2022-07-12;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10026;Autopilot and Safety Features;Autopilot System Error;Autonomous Technology;2022-09-22;Solar Products;Automotive and Energy;Electric Mobility and Sustainable Energy
10027;Financial and Leasing Options;Credit Approval Process;Credit Assessment;2023-03-18;Electric Vehicles;Automotive and Energy;Electric Mobility and Sustainable Energy
